--------- beginning of main
--------- beginning of system
05-27 15:45:37.865  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867937865 | 4 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:45:38.253  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867938253 | 392 | TAB_SHOWN | 5 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1530246}
05-27 15:45:38.308  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867938308 | 447 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1530308}
05-27 15:45:38.368  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867938368 | 507 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1530367}
05-27 15:45:38.427  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867938427 | 566 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1530426}
05-27 15:45:38.509  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867938508 | 647 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1530472}
05-27 15:45:38.517  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867938516 | 655 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1530475}
05-27 15:45:38.543  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867938543 | 682 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1530542}
05-27 15:45:45.529  8441  8441 I CT_REPRO: E02_state_inference_oracle | 1779867945529 | 7668 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1537528}
05-27 15:45:47.947  8587  8587 I CT_REPRO: E02_state_inference_oracle | 1779867947946 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/download?trial=download_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:45:47.990  8587  8587 I CT_REPRO: E02_state_inference_oracle | 1779867947989 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/download?trial=download_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:45:49.414  8587  8587 I CT_REPRO: E02_state_inference_oracle | 1779867949414 | 2 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/download?trial=download_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:45:49.838  8587  8587 I CT_REPRO: E02_state_inference_oracle | 1779867949838 | 426 | TAB_SHOWN | 5 | http://198.18.0.1:8000/download?trial=download_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1541838}
05-27 15:45:49.929  8587  8587 I CT_REPRO: E02_state_inference_oracle | 1779867949929 | 517 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/download?trial=download_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1541928}
05-27 15:45:50.031  8587  8587 I CT_REPRO: E02_state_inference_oracle | 1779867950031 | 619 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/download?trial=download_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1542030}
05-27 15:45:59.810  8684  8684 I CT_REPRO: E02_state_inference_oracle | 1779867959810 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/download?trial=download_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:45:59.852  8684  8684 I CT_REPRO: E02_state_inference_oracle | 1779867959852 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/download?trial=download_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:46:01.261  8684  8684 I CT_REPRO: E02_state_inference_oracle | 1779867961261 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/download?trial=download_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:46:01.692  8684  8684 I CT_REPRO: E02_state_inference_oracle | 1779867961692 | 432 | TAB_SHOWN | 5 | http://198.18.0.1:8000/download?trial=download_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1553675}
05-27 15:46:01.758  8684  8684 I CT_REPRO: E02_state_inference_oracle | 1779867961758 | 498 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/download?trial=download_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1553757}
05-27 15:46:01.828  8684  8684 I CT_REPRO: E02_state_inference_oracle | 1779867961828 | 568 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/download?trial=download_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1553828}
05-27 15:46:11.229  8791  8791 I CT_REPRO: E02_state_inference_oracle | 1779867971229 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/download?trial=download_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:46:11.277  8791  8791 I CT_REPRO: E02_state_inference_oracle | 1779867971276 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/download?trial=download_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:46:12.696  8791  8791 I CT_REPRO: E02_state_inference_oracle | 1779867972696 | 2 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/download?trial=download_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
